region,bgi_area_ha,branches_area_ha,cores_area_ha,corridors_area_ha,largest_patch_ha,mean_patch_ha,patch_density_per_sq_km,shape_index,patch_index,total_region_area_ha
Harju,41149.67577974629,852.56717867628,23725.877722157664,16571.23087891235,2322.16,194,0.517,15.7,9.76,432672.3
Hiiu,39778.37339296506,718.969494941154,24755.993499105018,14303.410398918892,8705.64,241,0.415,14.6,35.1,103257.7
Ida-Viru,5792.05463083691,194.296444680441,2597.647602870058,3000.110583286411,711.2,90,1.11,6.88,27.2,297171.5
Laane,33739.13882423746,918.847737619235,19133.87835868369,13686.412727934534,3126.76,188,0.532,14.2,16.3,181580.9
Laane-Viru,18318.240424704516,167.382248159762,12529.5600478869,5621.298128657854,2540.24,359,0.278,9.48,20.2,369574.5
Parnu,35008.6270153247,1139.318206284037,19084.092210471623,14785.216598569048,1473.96,152,0.658,15.2,7.7,541938.7
Saare,90088.10117501859,2339.899568254911,47780.116921255336,39968.084685508344,2203.0,154,0.651,23.8,4.6,293799.1
