fid,class,natura_cod,status,area,region
80842,forest,,,809.873335,Harju
80944,forest,,,8233.08245,Harju
81000,forest,,,2292.82927,Harju
81167,forest,,,717.877417,Harju
81210,forest,,,2027.82189,Harju
81240,forest,,,2704.87692,Harju
81257,forest,,,1486.52155,Harju
81270,forest,,,565.229785,Harju
81331,forest,,,3492.83303,Harju
81333,forest,,,263.246765,Harju
81343,forest,,,1049.62998,Harju
81344,forest,,,1389.12265,Harju
81360,forest,,,1582.60723,Harju
81385,forest,,,1361.99074,Harju
81478,forest,,,647.699049,Harju
81509,forest,,,0.76904212,Harju
81535,forest,,,83246.1588,Harju
81546,forest,,,260.896753,Harju
81639,forest,,,4440.50122,Harju
81654,forest,,,16836.2564,Harju
81723,forest,,,3614.96967,Harju
81754,forest,,,1609.07357,Harju
81758,forest,,,1717.15845,Harju
81789,forest,,,2464.20455,Harju
81805,forest,,,1808.97156,Harju
81806,forest,,,4711.33819,Harju
81819,forest,,,108747.581,Harju
81851,forest,,,495.464529,Harju
81861,forest,,,4610.15106,Harju
81969,forest,,,30758.2117,Harju
81976,forest,,,135425.65,Harju
82061,forest,,,1415.2269,Harju
82062,forest,,,25456.8106,Harju
82064,forest,,,30247.4533,Harju
82074,forest,,,60604.7316,Harju
82088,forest,,,698.934598,Harju
82089,forest,,,10962.0179,Harju
82093,forest,,,47160.4009,Harju
82096,forest,,,2379.52019,Harju
82119,forest,,,2888.59422,Harju
82126,forest,,,1959.00285,Harju
82138,forest,,,9601.57622,Harju
82140,forest,,,6534.01129,Harju
82146,forest,,,232.718879,Harju
82243,forest,,,1111.64461,Harju
82245,forest,,,828.173926,Harju
82246,forest,,,14295.5953,Harju
82258,forest,,,309.103481,Harju
82341,forest,,,73352.9872,Harju
82342,forest,,,1491.22454,Harju
82343,forest,,,289.444543,Harju
82344,forest,,,3604.90245,Harju
82353,forest,,,24389.299,Harju
82371,forest,,,8276.7874,Harju
82413,forest,,,1047.41518,Harju
82444,forest,,,12103.5962,Harju
82447,forest,,,1544.80005,Harju
82449,forest,,,374.740688,Harju
82450,forest,,,7071.53458,Harju
82451,forest,,,377.533977,Harju
82503,forest,,,8848.7992,Harju
82553,forest,,,711.464805,Harju
82559,forest,,,25372.7411,Harju
82599,forest,,,5521.15253,Harju
82659,forest,,,639.20608,Harju
82679,forest,,,3881.81696,Harju
82694,forest,,,6828.37559,Harju
82708,forest,,,762.902405,Harju
82710,forest,,,1924.29288,Harju
82711,forest,,,592.274616,Harju
82742,forest,,,3087.09735,Harju
82763,forest,,,1291.82052,Harju
82766,forest,,,3041.18449,Harju
82780,forest,,,4933.67073,Harju
82787,forest,,,6836.36562,Harju
82790,forest,,,411.561163,Harju
82809,forest,,,1198.27604,Harju
82811,forest,,,29081.5521,Harju
83089,forest,,,2642.53418,Harju
83093,forest,,,255.0441,Harju
83096,forest,,,4172.29875,Harju
83135,forest,,,968.568218,Harju
83167,forest,,,529.150831,Harju
83178,forest,,,30996.0447,Harju
83179,forest,,,2631.27509,Harju
83180,forest,,,8359.87731,Harju
83206,forest,,,194.298021,Harju
83218,forest,,,11754.2032,Harju
83241,forest,,,4214.64503,Harju
83253,forest,,,109748.937,Harju
83269,forest,,,13561.2999,Harju
83273,forest,,,11805.3104,Harju
83276,forest,,,3481.09724,Harju
83278,forest,,,1547.63178,Harju
83308,forest,,,16633.2456,Harju
83311,forest,,,164274.632,Harju
83339,forest,,,14933.9596,Harju
83344,forest,,,178.235664,Harju
83368,forest,,,12442.1035,Harju
83369,forest,,,7448.2979,Harju
83370,forest,,,42206.8777,Harju
83371,forest,,,294.329193,Harju
83393,forest,,,1412.10224,Harju
83396,forest,,,1073.88523,Harju
83404,forest,,,31568.5185,Harju
83412,forest,,,20871.0878,Harju
83421,forest,,,211.030698,Harju
83431,forest,,,247.664708,Harju
83437,forest,,,290.954973,Harju
83439,forest,,,35996.8309,Harju
83446,forest,,,293.890366,Harju
83451,forest,,,336.197468,Harju
83456,forest,,,2870.55391,Harju
83465,forest,,,300.735457,Harju
83550,forest,,,17372.2619,Harju
83598,forest,,,19414.3343,Harju
83615,forest,,,285419.756,Harju
83627,forest,,,525.985777,Harju
83647,forest,,,53135.5459,Harju
83670,forest,,,579.25372,Harju
83688,forest,,,153.564703,Harju
83719,forest,,,26461.2751,Harju
83723,forest,,,1132.45231,Harju
83725,forest,,,1711.57788,Harju
83735,forest,,,27532.3641,Harju
83745,forest,,,304.219443,Harju
83746,forest,,,26997.2237,Harju
83752,forest,,,1883.14006,Harju
